id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified075f60a0-8bca-4d5a-ab88-ecf819d889e2;Avers - Juppa Richtung Cavetta;9.553771018981935;46.45135564677528;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/1/0/9/b1094ccd0170b0de2d270fb5c2c7185061b2a6b8_avers_juppa_skilift_winter_demateo.jpg', 'caption': {'de': 'Avers Juppa im Winter'}}];2025-10-27T21:38:17+01:00
0760d5e1-8532-41a5-9756-0f0204df2a57;Andeer - Richtung Süden;9.426183700561523;46.60504815751617;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/f/8/f/3/f8f3f3507b1888eeb3d0bc6d1e3d40680caf96d9_andeer_im_winter_schams_viamala_tourismus_1.jpg', 'caption': {'de': 'Andeer im Winter'}}];2026-04-21T14:43:14+02:00
153b8af0-c79b-446d-a1c2-20bc063130e6;Valle di Lei - KHR Staumauer;9.456835985183718;46.4835891691578;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/a/f/1/4/af1456ea029f40d57aa2667ada0b38c1726757f9_staumauer_und_stausee_valle_di_lei_viamala_tourismus.jpg', 'caption': {'de': 'Valle di Lei'}}];2025-10-27T21:38:18+01:00
23dcfeb8-6e3e-4d83-a5fe-38c96dfb91f5;Feldis - Richtung Casealas;9.43132281303406;46.793288241230684;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/e/f/c/4efc80daf8411bab3754a0a3c58c9e96b16854e7_feldis_dorf_im_winter.jpg', 'caption': {'de': 'Feldis im Winter'}}];2025-10-27T21:38:21+01:00
39e51482-190b-4d1c-aada-ecf9c9621a10;Obergmeind - Richtung Piz Beverin;9.359359990848187;46.69092448692598;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/f/0/7/f/f07f2da697557ca7bade5d4911778e0bec2e7e82_obergemeind_skipiste_skilifte_tschappina_winter_demateo.jpg', 'caption': {'de': 'Die Obergmeind am Heinzenberg im Winter'}}];2025-10-27T21:38:21+01:00
51f23c97-431b-4d63-9072-b8b243bc3985;Andeer - Richtung Norden;9.426178336143495;46.60512550789521;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/0/f/e/6/0fe6c6eea4d04345bc7de3750e9752b48e622a9c_andeer_mit_hotel_fravi_und_reformierte_kirche_im_winter_viamala_tourismus.jpg', 'caption': {'de': 'Andeer im Winter'}}];2026-04-21T14:43:16+02:00
53694ef8-18d3-4b5d-8eee-18313553784b;Avers - Juf Westen;9.580013751983644;46.44552356536379;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/3/b/1/c/3b1c09eed569f0ab573ee5cb9bfc6e0f73b12b93_gasthaus_alpenrose_im_winter_1.jpg', 'caption': {'de': 'Avers Juf im Winter'}}];2025-10-27T21:38:25+01:00
6fd68e81-1b24-42cd-90b6-d35ce584d94b;Wergenstein;9.4075071;46.6262957;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/a/3/9/8/a398728e39348ea3bafc6ffb104d45494b2f8450_center_da_capricorns_hotel_restaurant_capricorns_wergenstein_winter_dolores_rupa.jpg', 'caption': {'de': 'Das Hotel Restaurant Capricorns im Winter'}}];2025-10-27T21:38:29+01:00
7226e8a6-e021-445b-83ef-60c2799a25f5;Sarn - Mittelstation Dultschinas;9.384008646011354;46.7242969076248;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/9/3/b/493b3049b8dfba9631d5dc58348fe7c630cda8e7_bergrestaurant_dultschinas_sarn_winter_demateo.jpg', 'caption': {'de': 'Sarn - Mittelstation Dultschinas im Winter'}}];2025-10-27T21:38:29+01:00
739a47a4-c071-4e09-9646-d2cecb7b6a60;Obermutten - Muttner Horn;9.484671950340273;46.67324172331749;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/6/0/1/4601e95e42db2377f84685d50f23215a86309d40_gasthaus_post_obermutten_winter.jpg', 'caption': {'de': 'Das Gasthaus Post im Winter'}}];2025-10-27T21:38:29+01:00
7428e0d7-df2c-42b6-adb3-c3eba0fc94fe;Sufers - KHR Stausee;9.379577636718752;46.567763753427236;[{'@type': 'ImageObject', 'contentUrl': 'https://viatpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/2/9/8/8/29884e9f5e7b0c06349253f590b1e3a056985574_sufers_dorf_im_winter_demateo.jpg', 'caption': {'de': 'Sufers und Stausee im Winter'}}];2025-10-27T21:38:29+01:00
